author_anonymous,package_id_new,asset_type,content_category,reason_code,original_audio_language,source_language,target_language,runtime_minutes,start_date,submit_date,due_date,on_time_current,expected_daily_output,num_days_spent,expected_TAT,on_time_actual,tat_coef,tat_coef_comp,tat_coef_std,deliver_score
aQvdYawU,2528213,SUBTITLE,VIDEO,STANDARD,en,en,pl,29.7,2022-12-30,2023-01-05,2023-01-13,1,15,5.0,2.0,0.0,2.5,1.7965584194941995,2.058510733389144,1
GphsrDOR,2708412,SUBTITLE,VIDEO,STANDARD,ko,en,zh-Hans,49.7,2022-12-31,2023-01-05,2023-01-05,1,15,4.0,4.0,1.0,1.0,1.1756410256410257,0.8199371979286029,3
aQvdYawU,2536838,SUBTITLE,VIDEO,STANDARD,en,en,pl,36.3,2023-01-03,2023-01-05,2023-01-13,1,15,3.0,3.0,1.0,1.0,1.7965584194941995,2.058510733389144,3
qCbipqgX,2160581,SUBTITLE,VIDEO,STANDARD,es,en,hr,40.5,2023-01-01,2023-01-05,2023-01-11,1,15,4.0,3.0,0.0,1.3333333333333333,1.217948717948718,0.7618952227730074,1
riviTqdz,2567937,SUBTITLE,VIDEO,STANDARD,pt-BR,en,sv,30.1,2023-01-02,2023-01-05,2023-01-06,1,15,4.0,3.0,0.0,1.3333333333333333,1.0305555555555554,0.5795940241274342,0
hfCXIyux,2929759,SUBTITLE,VIDEO,STANDARD,en,en,uk,49.3,2023-01-03,2023-01-05,2023-01-13,1,15,3.0,4.0,1.0,0.75,1.8420787545787547,1.7615285733288095,3
shNfpPiW,2526999,SUBTITLE,VIDEO,STANDARD,pl,en,ms,98.4,2022-12-28,2023-01-05,2023-01-10,1,15,7.0,7.0,1.0,1.0,2.3267857142857142,1.323284128575637,3
NJRfNDbm,2701937,SUBTITLE,VIDEO,STANDARD,pt-BR,en,ro,32.2,2022-12-30,2023-01-05,2023-01-05,1,15,5.0,3.0,0.0,1.6666666666666667,1.3569444444444443,0.8174998326794791,1
qpZIHMRF,2035951,SUBTITLE,VIDEO,STANDARD,id,en,en,20.9,2023-01-03,2023-01-05,2023-01-07,1,15,3.0,2.0,0.0,1.5,1.05,0.49721446300587663,0
NJRfNDbm,2906077,SUBTITLE,VIDEO,STANDARD,pt-BR,en,ro,36.0,2023-01-04,2023-01-05,2023-01-05,1,15,2.0,3.0,1.0,0.6666666666666666,1.3569444444444443,0.8174998326794791,3
gLAqQjbB,2616126,SUBTITLE,VIDEO,STANDARD,en,en,zh-Hans,35.5,2023-01-03,2023-01-05,2023-01-06,1,15,3.0,3.0,1.0,1.0,1.2029684313203866,0.9775251471830632,3
qpZIHMRF,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,en,33.2,2023-01-03,2023-01-05,2023-01-07,1,15,3.0,3.0,1.0,1.0,1.1106172839506172,0.5982869557800342,3
uvqzhEpO,2252996,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,54.9,2023-01-03,2023-01-05,2023-01-06,1,30,3.0,2.0,0.0,1.5,2.996292585170341,3.718679129654956,2
gLAqQjbB,2566930,SUBTITLE,VIDEO,STANDARD,it,en,zh-Hans,29.5,2023-01-03,2023-01-05,2023-01-09,1,15,3.0,2.0,0.0,1.5,1.1098484848484849,0.7156537524601498,0
YeWYSwML,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,it,33.2,2023-01-02,2023-01-05,2023-01-07,1,15,4.0,3.0,0.0,1.3333333333333333,2.955322455322455,3.594844660783225,2
nzeXmhaX,2616126,CLOSED_CAPTIONING,VIDEO,STANDARD,en,en,en,35.5,2023-01-04,2023-01-05,2023-01-05,1,30,2.0,2.0,1.0,1.0,2.996292585170341,3.718679129654956,3
uyBTIopk,2101180,SUBTITLE,VIDEO,STANDARD,en,en,pt-BR,105.7,2022-12-21,2023-01-05,2023-01-06,1,15,12.0,8.0,0.0,1.5,1.9906890130353816,1.4217774796421674,2
OdOfgsyS,2111550,CLOSED_CAPTIONING,VIDEO,STANDARD,pl,en,en,30.9,2022-12-23,2023-01-05,2023-01-07,1,15,10.0,3.0,0.0,3.3333333333333335,2.6794425087108014,2.0153067008937153,1
OdOfgsyS,2233563,CLOSED_CAPTIONING,VIDEO,STANDARD,pl,en,en,35.9,2022-12-25,2023-01-05,2023-01-07,1,15,9.0,3.0,0.0,3.0,2.6794425087108014,2.0153067008937153,1
YtBLlmFy,2372356,LANGUAGE_TEMPLATE,VIDEO,STANDARD,ko,ko,en,51.8,2022-12-31,2023-01-05,2023-01-05,1,15,4.0,4.0,1.0,1.0,1.6621843434343433,1.3912761416386594,3
jlJIdjCC,2526999,SUBTITLE,VIDEO,STANDARD,pl,en,zh-Hans,98.4,2022-12-30,2023-01-05,2023-01-10,1,15,5.0,7.0,1.0,0.7142857142857143,1.5324546485260773,0.9238337348625468,3
yLRfcGDA,2237779,SUBTITLE,VIDEO,STANDARD,ko,en,sv,68.1,2022-12-26,2023-01-05,2023-01-07,1,15,9.0,5.0,0.0,1.8,1.9725890985324948,1.7240738286843937,2
shNfpPiW,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,ms,33.2,2023-01-03,2023-01-06,2023-01-07,1,15,4.0,3.0,0.0,1.3333333333333333,1.8153039832285114,1.759024402812213,2
bOJuWEVb,2929759,SUBTITLE,VIDEO,STANDARD,en,en,hu,49.3,2023-01-01,2023-01-06,2023-01-16,1,15,5.0,4.0,0.0,1.25,2.0464979352174475,2.032637398469864,2
yLRfcGDA,2345761,SUBTITLE,VIDEO,STANDARD,ko,en,sv,62.8,2022-12-26,2023-01-06,2023-01-07,1,15,10.0,5.0,0.0,2.0,1.9725890985324948,1.7240738286843937,1
shNfpPiW,2598300,SUBTITLE,VIDEO,STANDARD,en,en,ms,24.9,2022-12-29,2023-01-06,2023-01-13,1,15,7.0,2.0,0.0,3.5,1.6012297453703705,1.0085205152013363,0
LuHxlAsL,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,nb,33.2,2023-01-02,2023-01-06,2023-01-07,1,15,5.0,3.0,0.0,1.6666666666666667,1.3702020202020202,0.6746740778682637,1
sBXuTfPL,2192454,SUBTITLE,VIDEO,STANDARD,it,en,zh-Hant,46.3,2022-12-29,2023-01-06,2023-01-07,1,15,7.0,4.0,0.0,1.75,2.0985449735449735,2.0307994528821376,2
mvhKyAGO,2920281,SUBTITLE,VIDEO,STANDARD,ja,en,ko,33.2,2023-01-03,2023-01-06,2023-01-07,1,15,4.0,3.0,0.0,1.3333333333333333,1.3701187701187703,0.805742849569475,2
