author_anonymous,runtime_minutes,num_days_spent,tat_coef,deliver_score
EgnJeCdH,1966.2,8.323529411764707,1.9808823529411763,1.8529411764705883
SupxILmr,2383.1,6.8545454545454545,2.161212121212121,1.8545454545454545
FbjEMqvY,1643.1000000000001,5.6,2.9683333333333333,1.875
QRUVoeVq,796.8,3.5294117647058822,1.3137254901960784,1.8823529411764706
eMyUonUI,1908.1,12.558823529411764,3.180135387488329,1.8823529411764706
vdTigucC,1533.5,4.314285714285714,1.5804761904761906,1.8857142857142857
QoZIKAje,2641.5,3.6666666666666665,2.133876357560568,1.8859649122807018
WMSjHbCg,2239.1,4.648148148148148,1.6027998236331569,1.8888888888888888
spgsvAEt,1957.6,6.204081632653061,2.0988824101069,1.8979591836734695
InOeMaMl,1006.0,5.142857142857143,1.4444444444444444,1.9047619047619047
LBBVImue,261.0,2.9166666666666665,2.7023809523809526,1.9166666666666667
dmHJMNDa,409.6,4.333333333333333,1.8055555555555556,1.9166666666666667
YlTkmGjK,4517.7,7.666666666666667,1.9811713191023534,1.9195402298850575
tFiuSSna,1387.4,5.3,1.77505291005291,1.9333333333333333
cETwxded,2106.5,5.042553191489362,1.655015197568389,1.9361702127659575
kwrWoECR,2476.0,7.92,2.8231904761904763,1.94
eAJlraHJ,656.3,6.0588235294117645,2.038235294117647,1.9411764705882353
jkSQzHxW,3793.1,5.329268292682927,1.879728029423151,1.951219512195122
XTWQNKpv,1306.9,6.619047619047619,1.5905895691609977,1.9523809523809523
rJTcxtGg,3666.1,2.8661417322834644,1.3666885389326335,1.952755905511811
FgwzeLsn,6014.3,5.37012987012987,1.9091682127396412,1.9545454545454546
UfqUEaFl,3406.3,9.15625,2.3279761904761904,1.984375
ycrjOGRo,5207.1,4.171428571428572,1.138095238095238,1.9904761904761905
oQoxLosK,194.7,11.0,1.6875,2.0
JBzqOuju,117.9,14.0,1.75,2.0
ubEdOAdL,1357.2,10.870967741935484,4.724462365591398,2.0
bFcvZfXD,101.2,6.0,2.111111111111111,2.0
jxXozcfT,1613.2,5.684210526315789,2.0785401002506263,2.0
xmJBqjAL,322.9,5.666666666666667,1.4166666666666667,2.0
xxHhrYQh,561.5,6.7272727272727275,1.9696969696969697,2.0
DzeabjGl,349.0,3.727272727272727,1.538961038961039,2.0
fcfUYjrA,670.5,3.588235294117647,1.2980392156862746,2.0
iDTLmTxi,110.7,15.0,1.875,2.0
hWYjqZGz,97.3,12.0,1.7142857142857142,2.0
YhsTtXrv,574.7,4.615384615384615,1.7435897435897434,2.0
LEbYvJrA,195.8,8.5,1.375,2.0
eFKprdtC,5959.4,4.041095890410959,1.7722847358121332,2.0
lOKWcCKs,94.5,5.5,1.625,2.0
XQeMvtSb,161.2,7.5,1.4166666666666667,2.0
pXrhXNHm,89.5,7.0,1.1666666666666667,2.0
qnlrCgAN,191.89999999999998,6.0,1.0714285714285714,2.0
kDVwOCib,2905.3,6.444444444444445,1.9162698412698413,2.0
miaWAUeo,1949.8,5.4,1.3077876984126984,2.025
xLoOFFML,1247.5,3.236842105263158,1.8319235588972431,2.026315789473684
obNzYPPP,2022.1,5.552631578947368,1.867543859649123,2.026315789473684
sfInfEUv,1657.0,4.2,2.03299823633157,2.0444444444444443
jErsnGvu,989.4,5.2105263157894735,2.0517543859649123,2.0526315789473686
